item;sourceFile;imageFile;sku;blingId;blingName;displayName;variationLabel;status
49;ChatGPT Image 3 de jul. de 2026, 07_17_47 (5).png;49-perfume-de-ambiente-com-opcoes-de-aroma-3104000004072-lavanda-inglesa.png;3104000004072;16624095625;PERFUME DE AMBIENTE;Perfume de Ambiente com Opcoes de Aroma;Lavanda Inglesa;APLICADO_LOCAL_COM_VARIACAO
60;ChatGPT Image 3 de jul. de 2026, 07_18_39 (1).png;60-dispenser-de-agua-eletrico-3104000000016-branco.png;3104000000016;16440935581;DISPENSER DE AGUA ELETRICO;Dispenser de Agua Eletrico;Branco;APLICADO_LOCAL_COM_VARIACAO
91;ChatGPT Image 3 de jul. de 2026, 08_19_05 (1).png;91-dispenser-de-agua-eletrico-3104000000016-modelo-eletrico.png;3104000000016;16440935581;DISPENSER DE AGUA ELETRICO;Dispenser de Agua Eletrico;Modelo eletrico;APLICADO_LOCAL_COM_VARIACAO
61;ChatGPT Image 3 de jul. de 2026, 07_18_39 (2).png;61-porta-joias-premium-3104000000240-com-visor.png;3104000000240;16440936535;PORTA JOIA PREMIUM;Porta-Joias Premium;Com visor;APLICADO_LOCAL_COM_VARIACAO
62;ChatGPT Image 3 de jul. de 2026, 07_18_39 (3).png;62-porta-joias-premium-3104000000240-aveludado-claro.png;3104000000240;16440936535;PORTA JOIA PREMIUM;Porta-Joias Premium;Aveludado claro;APLICADO_LOCAL_COM_VARIACAO
92;ChatGPT Image 3 de jul. de 2026, 08_19_05 (2).png;92-porta-joias-premium-3104000000240-com-visor-premium.png;3104000000240;16440936535;PORTA JOIA PREMIUM;Porta-Joias Premium;Com visor premium;APLICADO_LOCAL_COM_VARIACAO
93;ChatGPT Image 3 de jul. de 2026, 08_19_05 (3).png;93-porta-joias-premium-3104000000240-organizador-claro.png;3104000000240;16440936535;PORTA JOIA PREMIUM;Porta-Joias Premium;Organizador claro;APLICADO_LOCAL_COM_VARIACAO
98;ChatGPT Image 3 de jul. de 2026, 08_20_26 (3).png;98-porta-joias-premium-3104000000240-organizador-aveludado.png;3104000000240;16440936535;PORTA JOIA PREMIUM;Porta-Joias Premium;Organizador aveludado;APLICADO_LOCAL_COM_VARIACAO
70;ChatGPT Image 3 de jul. de 2026, 07_19_25 (6).png;70-papa-bolinha-recarregavel-3104000000633-recarregavel.png;3104000000633;16670007068;PAPA BOLINHA RECARREGAVEL BRANCO;Papa Bolinha Recarregavel;Recarregavel;APLICADO_LOCAL_COM_VARIACAO
71;ChatGPT Image 3 de jul. de 2026, 07_19_26 (7).png;71-papa-bolinha-recarregavel-3104000000633-compacto.png;3104000000633;16670007068;PAPA BOLINHA RECARREGAVEL BRANCO;Papa Bolinha Recarregavel;Compacto;APLICADO_LOCAL_COM_VARIACAO
118;ChatGPT Image 3 de jul. de 2026, 13_02_31 (1).png;118-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-laranja.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Laranja;APLICADO_LOCAL_COM_VARIACAO
